
> tank-game-backend@1.0.0 dev
> node server.js

Player connected: oQy1jCC4S1Dy4hp8AACD
Player connected: KHrYsbly7_AgqRvcAACE
Player connected: uOu8dIwODw30vBh8AACL
Player connected: KPrclxqoeoTrVLe2AACM
Player connected: lkRANc_B8nPluYjbAACO
Player disconnected: uOu8dIwODw30vBh8AACL
Player disconnected: KPrclxqoeoTrVLe2AACM
Player disconnected: ysDgJkHRNM0bnSuWAACC
Player disconnected: oQy1jCC4S1Dy4hp8AACD
Player disconnected: lkRANc_B8nPluYjbAACO
Player disconnected: KHrYsbly7_AgqRvcAACE
Player connected: 2XHAi7C-2wCzzT_TAACU
Player connected: Cl1sCKCfrjRSEph0AACV
Player connected: pzUUnVwXUCoJnAGYAACW
Player connected: FQPR6UZmdXjy-u-iAACX
Player connected: A8M_hJilwMtuxB7YAACY
Player disconnected: FQPR6UZmdXjy-u-iAACX
Player disconnected: pzUUnVwXUCoJnAGYAACW
Player disconnected: 2XHAi7C-2wCzzT_TAACU
Player disconnected: A8M_hJilwMtuxB7YAACY
Player disconnected: Cl1sCKCfrjRSEph0AACV
Player connected: NUM715XqglPmxzI9AACd
Player connected: 5_zq8SFeka2z8DQ4AACf
Player disconnected: NUM715XqglPmxzI9AACd
Player disconnected: 5_zq8SFeka2z8DQ4AACf
Player connected: fBC88hA9Pn_nUxyyAACi
Player connected: K-WjdrL4a_1PahlPAACj
Player disconnected: fBC88hA9Pn_nUxyyAACi
Player connected: 5otMnRaC9vrv7KsiAACl
Player disconnected: K-WjdrL4a_1PahlPAACj
Player connected: 88xWs8b_sjaCHN9nAACn
Player connected: EgcuC_bH7oF70BuGAACq
Player connected: o-A-jJCwkn-6xTM9AACs
