t=2026-06-06T20:11:12+0600 lvl=info msg="no configuration paths supplied"
t=2026-06-06T20:11:12+0600 lvl=info msg="using configuration at default config path" path=C:\\Users\\User\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-06-06T20:11:12+0600 lvl=info msg="open config file" path=C:\\Users\\User\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-06-06T20:11:12+0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-06T20:11:12+0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-06T20:11:13+0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-06T20:11:13+0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-06T20:18:05+0600 lvl=info msg="join connections" obj=join id=b3c60dbdab06 l=[::1]:5173 r=178.217.173.234:51844
t=2026-06-06T20:18:14+0600 lvl=info msg="join connections" obj=join id=d88981dc9d46 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:18:14+0600 lvl=info msg="join connections" obj=join id=49dffdda7bad l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:18:15+0600 lvl=info msg="join connections" obj=join id=2e56df0e1dc8 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:18:15+0600 lvl=info msg="join connections" obj=join id=9cb8d1138b0d l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:18:15+0600 lvl=info msg="join connections" obj=join id=37b1b9d8f96b l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:18:16+0600 lvl=info msg="join connections" obj=join id=677924e65852 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:18:16+0600 lvl=info msg="join connections" obj=join id=7b61cab7c26e l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:18:17+0600 lvl=info msg="join connections" obj=join id=5ee375ab5772 l=[::1]:5173 r=46.251.201.162:61860
t=2026-06-06T20:18:17+0600 lvl=info msg="join connections" obj=join id=b8122e99a78f l=[::1]:5173 r=178.217.173.234:63303
t=2026-06-06T20:18:18+0600 lvl=info msg="join connections" obj=join id=5486d150e1f6 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:18:22+0600 lvl=info msg="join connections" obj=join id=43b25cef7ff6 l=[::1]:5173 r=178.217.173.234:55859
t=2026-06-06T20:18:24+0600 lvl=info msg="join connections" obj=join id=1ad03e56b864 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:18:24+0600 lvl=info msg="join connections" obj=join id=7a7cff3757e9 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:18:25+0600 lvl=info msg="join connections" obj=join id=14be8aac0e6d l=[::1]:5173 r=46.251.201.162:61861
t=2026-06-06T20:18:25+0600 lvl=info msg="join connections" obj=join id=f98b8b46b9f5 l=[::1]:5173 r=178.217.173.234:65150
t=2026-06-06T20:18:25+0600 lvl=info msg="join connections" obj=join id=5fcab38205e6 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:18:25+0600 lvl=info msg="join connections" obj=join id=80336963268e l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:18:32+0600 lvl=info msg="join connections" obj=join id=bf0e310f3185 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:18:33+0600 lvl=info msg="join connections" obj=join id=c2f07c93fa6a l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:18:33+0600 lvl=info msg="join connections" obj=join id=33f6edc9b1f3 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:18:33+0600 lvl=info msg="join connections" obj=join id=480b36472e08 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:18:33+0600 lvl=info msg="join connections" obj=join id=6d3059296437 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:18:33+0600 lvl=info msg="join connections" obj=join id=0c5a5628df08 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:18:33+0600 lvl=info msg="join connections" obj=join id=abe86128c2ce l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:18:33+0600 lvl=info msg="join connections" obj=join id=3f5eace7bc7e l=[::1]:5173 r=178.217.173.234:56666
t=2026-06-06T20:18:33+0600 lvl=info msg="join connections" obj=join id=2e0e9d179bd1 l=[::1]:5173 r=178.217.173.234:55876
t=2026-06-06T20:18:33+0600 lvl=info msg="join connections" obj=join id=2ff171a86bd0 l=[::1]:5173 r=46.251.201.162:61862
t=2026-06-06T20:18:36+0600 lvl=info msg="join connections" obj=join id=348f60c03e63 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:18:38+0600 lvl=info msg="join connections" obj=join id=3f3964c5716f l=[::1]:5173 r=178.217.173.234:55893
t=2026-06-06T20:18:44+0600 lvl=info msg="join connections" obj=join id=0d781e544c82 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:18:45+0600 lvl=info msg="join connections" obj=join id=c2cfa5ca488b l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:18:48+0600 lvl=info msg="join connections" obj=join id=da0d57ab51a8 l=[::1]:5173 r=178.217.173.234:62411
t=2026-06-06T20:18:48+0600 lvl=info msg="join connections" obj=join id=a2b4c9d97d87 l=[::1]:5173 r=46.251.201.162:61863
t=2026-06-06T20:19:11+0600 lvl=info msg="join connections" obj=join id=8859a6ee0332 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:22:10+0600 lvl=info msg="join connections" obj=join id=52ad334a73a1 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:22:42+0600 lvl=info msg="join connections" obj=join id=1b4ec77cb560 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:22:42+0600 lvl=info msg="join connections" obj=join id=099539b4c293 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:22:42+0600 lvl=info msg="join connections" obj=join id=e42dbfbabf9e l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:23:00+0600 lvl=info msg="join connections" obj=join id=a2628aa743ca l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:23:00+0600 lvl=info msg="join connections" obj=join id=d69b78729444 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:23:01+0600 lvl=info msg="join connections" obj=join id=c603ff26462d l=[::1]:5173 r=46.251.201.162:61864
t=2026-06-06T20:23:01+0600 lvl=info msg="join connections" obj=join id=fe2852467e6f l=[::1]:5173 r=178.217.173.234:52864
t=2026-06-06T20:23:01+0600 lvl=info msg="join connections" obj=join id=b55b9f12ae5f l=[::1]:5173 r=178.217.173.234:55841
